browserName,Browsers,user_details.sessionId
Chrome (desktop),3588,
Mobile Safari (mobile),2316,
Chrome (mobile),1683,
Edge (desktop),898,
Safari (desktop),336,
WebKit (mobile),153,
Firefox (desktop),126,
Samsung Browser (mobile),90,
Chrome WebView (mobile),61,
GSA (mobile),37,
Chrome (tablet),34,
Huawei Browser (mobile),25,
WeChat (mobile),15,
Edge (mobile),7,
Opera (desktop),7,
MIUI Browser (mobile),7,
Chrome WebView (tablet),6,
Edge (tablet),5,
Firefox (mobile),4,
Safari (mobile),2,
Samsung Browser (tablet),1,
Android Browser (mobile),1,